Style,Season,NeckLine,SleeveLength,Material,FabricType,Pattern,Weather,Temperature,ImageLink,Jewelry,footwear
bohemian,Winter,o-neck,sleevless,polyster,chiffon,striped,cool,10.0,https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/b/f/bf9f9bbNYKFF_RANG074_1.jpg?rnd=20200526195200&tr=w-512,https://th.bing.com/th/id/R.135f99ffedfe6a43b1a94e61dce84918?rik=D22lwRxhMuEDLw&riu=http%3a%2f%2f1.bp.blogspot.com%2f-VlUhF6sTf6o%2fTlm7X_oy9eI%2fAAAAAAAABiM%2fk4gx5-dzDdU%2fs1600%2fattractive-floral-diamond-necklace-zoom.jpg&ehk=cVYqkj3OqWfizuIPHUFY2LeQnzbghzuO3M2EQfp%2bzfw%3d&risl=&pid=ImgRaw&r=0,https://m.media-amazon.com/images/I/61P+d2Itu4L._AC_UY1000_.jpg
Casual,Winter,o-neck,short,rayon,broadcloth,solid,cool,10.0,https://i.pinimg.com/originals/a9/2f/74/a92f7459791063f4ff35b15b06c7d9fd.jpg,https://i.pinimg.com/474x/bf/07/32/bf0732226fa4eb42a09632d5470eccc5.jpg,https://images.herzindagi.info/image/2022/Apr/Mules.jpg
work,Summer,o-neck,full,cotton,,solid,hot,35.0,https://cdn.shopify.com/s/files/1/0105/8881/5418/files/LIGHT_SKY_BLUE_COTTON_KURTA_SET-min.jpg?v=1678985988,https://th.bing.com/th/id/R.8106e5637c5edf35339f63cb44f3f253?rik=aTtr07ZqbYHDUg&riu=http%3a%2f%2fwww.pak101.com%2fgallery%2fJewellery%2fNecklace_Sets%2f2013%2f5%2f9%2fNeckless_Jewellery_Sets_2013_for_Women__10_epnki_Pak101(dot)com.jpg&ehk=i4RnQ4UkTqE2DpG9xQHObucpGFOxXs8uAb7fp2C9fZU%3d&risl=&pid=ImgRaw&r=0,https://cdn.shopify.com/s/files/1/0267/7728/8764/files/RS46_2_465x.jpg?v=1697091101
Casual,Summer,v-neck,halfsleeve,silk,broadcloth,solid,hot,35.0,https://assets.superbalistcdn.co.za/filters:quality(75):format(jpg)/722442/original.jpg,https://jewellery.clouddukaan.com/wp-content/uploads/2023/08/n-03.jpg,"https://assets.myntassets.com/dpr_1.5,q_60,w_400,c_limit,fl_progressive/assets/images/16682350/2022/1/4/d21e1cdd-df43-42f0-9173-f35666c569621641299512078RedTapeWomenWhiteSolid1.jpg"
Casual,Automn,o-neck,short,chiffonfabric,chiffon,,cool,15.0,"https://m.media-amazon.com/images/I/71uck4dPQ4L._AC_UF1000,1000_QL80_.jpg",https://images.meesho.com/images/products/335298455/c6nmt_512.jpg,"https://www.jiomart.com/images/product/original/rvrlgjmwyp/heer-women-s-handmade-jutti-ethnic-shoes-traditional-flat-mojari-embroidered-canvas-slip-on-bellies-traditional-casual-ethnic-wear-printed-blue-product-images-rvrlgjmwyp-0-202306020123.jpg?im=Resize=(1000,1000)"
work,Automn,o-neck,sleevless,linen,,patchwork,moderate,20.0,https://ae01.alicdn.com/kf/HTB1nAB_KVXXXXXsXpXXq6xXFXXXW/2016-Summer-Dress-Women-Chiffon-Long-Maxi-Dress-O-Neck-Sleevless-Vestidos-Plus-size-Beach-Dresses.jpg,https://i.pinimg.com/736x/0d/1f/35/0d1f35f5c4d8e6a7b8a9ce2acf21bf41.jpg,https://miro.medium.com/v2/resize:fit:500/1*Kg9Q4sZaYv5ANbm0CXt1cg.jpeg
Sexy,Spring,v-neck,threequarter,polyster,,geometric,mild,25.0,https://ae01.alicdn.com/kf/S439b471c956f4a6e8a742d3149153d86A.jpg_640x640Q90.jpg_.webp,https://images.meesho.com/images/products/166933102/c5bzw_512.webp,https://rukminim2.flixcart.com/image/850/1000/k3670cw0/sandal/j/w/8/33-885-39-metro-80-peach-original-imafmdfr5jgvgjr3.jpeg?q=20&crop=false
Brief,Spring,slash-neck,full,,,solid,mild,25.0,https://m.media-amazon.com/images/I/71qPlI44xPL._SL1500_.jpg,https://i.pinimg.com/736x/cb/6b/9f/cb6b9f461aa8aedf6567ca62bb1b2de1.jpg,https://5.imimg.com/data5/SELLER/Default/2023/2/DW/OQ/GM/112305935/ateek-flowerprint-heel-black01-1--500x500.JPG
Brief,winter,v-neck,halfsleeve,polyster,broadcloth,solid,cool,10.0,https://m.media-amazon.com/images/I/71HexaIpGBL._AC_UY1100_.jpg,https://ae01.alicdn.com/kf/HTB1jU3SSFXXXXaaXpXXq6xXFXXXH/Fashion-Gold-Color-Bridal-Jewelry-Set-for-Brides-Crystal-Necklace-Earrings-Wedding-Party-Costume-Accessories-Gifts.jpg,https://tiimg.tistatic.com/fp/3/007/901/comfortable-lightweight-casual-wear-white-ladies-shoes-295.jpg
Casual,Summer,o-neck,sleevless,cotton,chiffon,solid,hot,35.0,https://img.joomcdn.net/ff02bd3803e1f6563131c1d94052a55baa9b8a63_original.jpeg,https://i.pinimg.com/originals/51/f9/c5/51f9c5fff6cfbcbfcc00c3f9918426b8.jpg,https://img4.dhresource.com/webp/m/0x0/f3/albu/km/j/09/762dff7e-47d9-4ca3-b677-266f9cbbcdac.jpg
vintage,Summer,o-neck,urndowncollor,,,,hot,35.0,https://ae01.alicdn.com/kf/HTB1fTBrXYwrBKNjSZPcq6xpapXax/Tshirt-Women-Tunic-Solid-V-Neck-Red-Short-Sleeve-Button-Women-Tops-Summer-Clothing-Cotton-Blend.jpg,https://i.etsystatic.com/28324960/r/il/7aafb6/2932231522/il_1140xN.2932231522_q7b3.jpg,https://static3.azafashions.com/tr:w-317/uploads/product_gallery/1709134563957_1.jpg?noopt=true
Casual,Summer,o-neck,halfsleeve,chiffonfabric,chiffon,solid,hot,35.0,https://babaroni.com/cdn/shop/products/Isobel-Regency-9_1.jpg?v=1687180790,https://n4.sdlcdn.com/imgs/a/l/g/Manukunj-Elegent-Neckless-Set-SDL049687882-1-bce58.JPG,https://availeverything.com/public/uploads/all/9xM4xZczm8ebIROikMfUb7I5tIBPSOVOZnqu4Mfd.jpg
Casual,Spring,turndowncollor,short,polyster,,patchwork,mild,25.0,https://static3.azafashions.com/uploads/product_gallery/1579034-0435840001568731945.jpg,https://cdn.shopify.com/s/files/1/0916/9748/products/inara-statement-simulated-diamond-necklace-set-crystal-and-diamante-necklaces-bridal-28282132486_1200x1200.jpg?v=1587181398,https://ebandive.com.au/cdn/shop/files/2534401.jpg?v=1692085812&width=1600
Sexy,Automn,o-neck,full,cotton,,solid,mild,25.0,https://ae01.alicdn.com/kf/HTB1mTVGXI_vK1Rjy0Foq6xIxVXaW/AZULINA-Two-Tone-Crop-Top-Women-T-Shirt-Casual-Slim-Mock-Neck-Long-Sleeve-Knitted-Pullover.jpg_640x640.jpg,https://n3.sdlcdn.com/imgs/a/6/a/Beingwomen-Red-Floral-Neckless-Set-SDL251657159-3-2877c.jpg,https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/6/9/698ccf7CL-DOL-Wn-07BEIGE_2.jpg?tr=w-512
Casual,winter,o-neck,sleevless,milksilk,,animal,cool,10.0,https://i.etsystatic.com/25339369/r/il/4eefb4/5653310612/il_fullxfull.5653310612_jnsd.jpg,https://ae01.alicdn.com/kf/HTB1TLovetLO8KJjSZFxq6yGEVXaB/New-Fashion-Purple-Rhinestones-Crystal-Statement-Necklace-Bridal-Jewelry-Sets-Decoration-Necklaces-Jewellery-Gifts-for-Women.jpg,https://m.media-amazon.com/images/I/71TsiixaeCL._AC_UY300_.jpg
vintage,Summer,turndowncollor,short,cotton,,,hot,35.0,https://pds01.b-cdn.net/wp-content/uploads/2023/12/2dc61946-807d-463b-9f94-e1c9d7326935.jpeg,https://www.warejewelers.com/upload/blog/history-of-jewelry.jpg,https://5.imimg.com/data5/RJ/BO/MY-18804210/rc-034-flat-bellys-for-girl-500x500.jpg
work,winter,turndowncollor,full,,,solid,cool,10.0,https://img4.dhresource.com/webp/m/0x0/f3/albu/km/j/19/7a07a34c-4651-4267-95ec-fcfaa6c69797.jpg,https://ae01.alicdn.com/kf/UTB85fkzpqrFXKJk43Ovq6ybnpXaX/New-Fashion-Enamel-Jewelry-Sets-For-Women-Peacock-Leaves-Brand-Designer-Jewelry-Set-Statement-Necklace-Earrings.jpg,https://footwearnews.com/wp-content/uploads/2023/06/GettyImages-1436054696.jpg?w=700&h=437&crop=1
party,Summer,v-neck,sleevless,,,,hot,35.0,https://ae01.alicdn.com/kf/S8ff071a39dce42e48e2e45364bd97738O/Elegant-Casual-Long-Dress-For-Women-Summer-V-neck-Sleeveless-Bodycon-Dress-Femeale-Fashion-Korean-Style.jpg,https://th.bing.com/th/id/R.fe62eb48aef19035b0ccaea34f3306d0?rik=pmgW7bi3qmyAMw&riu=http%3a%2f%2f3.bp.blogspot.com%2f__aJnWEJu6OM%2fSep6gE5GVOI%2fAAAAAAAAAUg%2fP1bw6_10tJw%2fw1200-h630-p-k-no-nu%2f3.jpg&ehk=Y1ZM55s1uicMeVsThOQk%2fpljRRrbb081tLW6%2bdUA8bc%3d&risl=&pid=ImgRaw&r=0,"https://www.jiomart.com/images/product/original/rvs1adflpk/shezone-women-s-cream-color-heels-product-images-rvs1adflpk-1-202301031253.jpg?im=Resize=(500,630)"
Casual,Summer,o-neck,full,cotton,,solid,hot,35.0,https://i.pinimg.com/736x/9a/d2/9c/9ad29caadb4121edccd0a518e3deaf82.jpg,https://th.bing.com/th/id/R.23a79f053d74dc3988932b776a73e87c?rik=S3bnComqZSYu7g&riu=http%3a%2f%2f2.imimg.com%2fdata2%2fPG%2fPK%2fMY-3114556%2famerican-diamond-studded-neckless-set-500x500.jpg&ehk=ontTQ3ylaE%2fDFB77lx6A1ZFblA%2bT3oDHqGpYzjvJcGc%3d&risl=&pid=ImgRaw&r=0,https://i.pinimg.com/564x/b5/5b/93/b55b93cb68f0b010e29ed107bf3be5b6.jpg
Casual,Summer,o-neck,sleevless,cotton,,striped,hot,35.0,"https://m.media-amazon.com/images/I/71toQOjeu4L._AC_SR175,263_QL70_.jpg",https://th.bing.com/th/id/R.46ac8b31df063b920f6afc60632ccb6c?rik=QlVlHR%2fZVjdRig&riu=http%3a%2f%2f3.bp.blogspot.com%2f-Fkn6Nf7OWpk%2fUX39jOD3u1I%2fAAAAAAAAEM4%2fez3i0mCu5_w%2fs1600%2fli_6445QKA_indiebazaar_jewellery-sets_VendeeAwesomedesignerdiamondpendantsets_VendeeFashion.jpg&ehk=oTjn1YGYj3BfzQtVGipGPcsUShdhhqEwYLpYMC8hIKs%3d&risl=&pid=ImgRaw&r=0,https://i.pinimg.com/736x/e3/4a/4a/e34a4aff9d7fe1aa6cf1f1c6118e903c.jpg
Casual,Summer,o-neck,sleevless,milksilk,,animal,hot,35.0,https://i.pinimg.com/originals/dc/80/49/dc8049fb08605b6b4aa77ce0a7860860.jpg,https://ae01.alicdn.com/kf/HTB1QeoedyMnBKNjSZFCq6x0KFXae/Simulated-Pearl-Jewelry-Set-for-Women-Statement-Necklaces-Pendants-Imitation-pearls-Drop-Earrings-for-Bride-Wedding.jpg,"https://www.jiomart.com/images/product/original/rvy5osgs3d/gulmeren-women-flats-fashion-slippers-stylish-model-flat-casual-daily-use-product-images-rvy5osgs3d-0-202311061829.jpg?im=Resize=(500,630)"
party,Spring,o-neck,halfsleeve,,,,hot,35.0,https://assets.ajio.com/medias/sys_master/root/20210319/cbKc/6054c000f997dd7b644ede01/-473Wx593H-441091860-beige-MODEL.jpg,https://images.meesho.com/images/products/335298453/bdmp8_512.webp,https://rukminim1.flixcart.com/image/714/857/shoe/y/u/f/htj1-gol-41-lords-ladies-golden-original-imaeqjkvjmvfwcfg.jpeg
,Spring,boat-neck,sleevless,cotton,,patchwork,moderate,20.0,https://i.pinimg.com/originals/48/9d/fd/489dfd1d388df868d8f36c28263d83ce.jpg,https://images.cbazaar.com/images/golden-neckless-set-jynsbjk7-u.jpg,https://odhi.in/image/cache/catalog/footwear-coimbatore/smd/womens-sandals-sky-aqua-blue-flower-1-smd-footwear-online-sale-coimbatore-1000x1000.jpg
Sexy,Summer,v-neck,sleevless,cotton,,solid,hot,35.0,https://i.pinimg.com/736x/95/b8/bb/95b8bb5d74386d40ae29878cc15bb6eb.jpg,https://www.vameir.com/media/catalog/product/cache/13/image/9df78eab33525d08d6e5fb8d27136e95/h/o/home002.jpg,https://rukminim1.flixcart.com/image/400/400/k6mibgw0/slipper-flip-flop/p/a/v/kap-welcome-p-40-kapani-fashion-blue-original-imafpfqgyzxk57u8.jpeg?q=90
Casual,Summer,o-neck,short,cotton,,solid,hot,35.0,https://images-cdn.ubuy.co.in/6369f92590212b59a2368564-funny-women-39-s-t-shirt-feather.jpg,https://ae01.alicdn.com/kf/HTB1xXq4OVXXXXX.aFXXq6xXFXXXt/Gold-Flower-set-Jewelry-Necklace-Pendant-Earrings-Plant-Gold-Plated-Wedding-set-Bridal-Arab-African-Set.jpg,"https://assets.myntassets.com/dpr_1.5,q_60,w_400,c_limit,fl_progressive/assets/images/16682350/2022/1/4/d21e1cdd-df43-42f0-9173-f35666c569621641299512078RedTapeWomenWhiteSolid1.jpg"
Casual,Winter,boat-neck,full,cotton,,geometric,cool,10.0,https://i.pinimg.com/originals/e0/29/17/e02917aaaf008f2a83ad997124ab7a76.jpg,https://i.pinimg.com/736x/e3/89/c3/e389c33e1eb3f1f1dc705a4bd80c5dd0.jpg,https://rukminim2.flixcart.com/image/850/1000/xif0q/shoe/c/g/h/8-brown-thari-traditional-funda-brown-original-imagdy4ejmspzkjq-bb.jpeg?q=90&crop=false
Casual,winter,o-neck,full,polyster,,solid,cool,10.0,https://images1.yosari.com/59710-thickbox_default/marigold-polyster-printed-readymade-kurti.jpg,https://th.bing.com/th/id/R.e04537c5c1ed5e24926d456ccb887872?rik=mIsPQWS19gW12A&riu=http%3a%2f%2fwww.southjewellery.com%2fwp-content%2fuploads%2f2015%2f03%2fdiamond_necklace1.jpg&ehk=%2fsbp81gCM8sExWs7sJP3acQQu0QXfba7AmilIK1cWSY%3d&risl=&pid=ImgRaw&r=0,https://rukminim2.flixcart.com/image/850/1000/xif0q/sandal/1/e/c/5-aa-1244-5-gloglamp-gold-original-imagrndcpyzyfamg.jpeg?q=90&crop=false
Casual,Summer,v-neck,sleevless,nylon,,,hot,35.0,https://m.media-amazon.com/images/I/61RQMAfTM8L._AC_UY1100_DpWeblab_.jpg,https://i.pinimg.com/originals/a7/75/93/a77593c0b5ee4c32eea4524878979d5b.jpg,https://m.media-amazon.com/images/I/61bhWwbgCuL._AC_UY1000_.jpg
cute,cute,boat-neck,sleevless,,,,hot,35.0,https://i.pinimg.com/originals/33/1d/69/331d69741684f39ddc3307d9574b8827.jpg,https://i.pinimg.com/originals/a3/bf/d7/a3bfd7b1a6762e1b9e773613294115ac.jpg,https://5.imimg.com/data5/UN/HH/TE/SELLER-24658154/deeanne-london-women-s-single-strap-block-heels-125x125.jpg
Sexy,Summer,turndowncollor,sleevless,cotton,,solid,hot,35.0,https://m.media-amazon.com/images/I/71qGZxerP9L._AC_SX569_.jpg,https://n3.sdlcdn.com/imgs/a/m/w/Araa-Collections-Neckless-Set-Purpel-SDL966660042-1-35ad9.jpg,https://5.imimg.com/data5/SELLER/Default/2023/2/DW/OQ/GM/112305935/ateek-flowerprint-heel-black01-1--500x500.JPG
Novelty,winter,o-neck,short,polyster,broadcloth,,cool,10.0,https://i.pinimg.com/originals/07/a1/bb/07a1bbcb5a07e4fea57881f099b0e013.jpg,https://n4.sdlcdn.com/imgs/a/6/a/Beingwomen-Pink-Floral-Neckless-Set-SDL262374746-2-7d74d.jpg,https://c.ndtvimg.com/2022-11/k4cr64b_fashion_625x300_09_November_22.jpg
Casual,winter,o-neck,sleevless,milksilk,,animal,cool,10.0,https://i5.walmartimages.com/asr/c2a469de-c78c-45ba-8fda-06344f98f56e.d8a3fb61c2871e5290b17d53945ec0e8.jpeg?odnHeight=612&odnWidth=612&odnBg=FFFFFF,https://n3.sdlcdn.com/imgs/a/l/a/La-Trendz-Rajwadi-Neckless-Set-SDL039442903-1-266f0.jpg,https://5.imimg.com/data5/UN/HH/TE/SELLER-24658154/deeanne-london-women-s-single-strap-block-heels-125x125.jpg
vintage,Summer,turndowncollor,short,cotton,,,hot,35.0,https://i.pinimg.com/originals/5e/3e/e7/5e3ee763912ed6b55f3f3a4fc1379a97.jpg,https://images.meesho.com/images/products/335298455/c6nmt_512.jpg,https://cdn.shopify.com/s/files/1/0267/7728/8764/files/RS46_2_465x.jpg?v=1697091101
work,winter,turndowncollor,full,,,solid,cool,10.0,https://www.net-a-porter.com/variants/images/1647597289786168/ou/w2000_q60.jpg,https://jewellery.clouddukaan.com/wp-content/uploads/2023/08/n-03.jpg,https://assets.ajio.com/medias/sys_master/root/20240403/bcSl/660d2c7d05ac7d77bbf27198/layasa_green_women_slip-on_slide_with_buckle_fastening.jpg
party,Summer,v-neck,sleevless,,,,hot,35.0,https://m.media-amazon.com/images/I/41l1Q4ENxLL._SR600%2C315_PIWhiteStrip%2CBottomLeft%2C0%2C35_PIStarRatingTHREEANDHALF%2CBottomLeft%2C360%2C-6_SR600%2C315_ZA57%2C445%2C290%2C400%2C400%2CAmazonEmberBold%2C12%2C4%2C0%2C0%2C5_SCLZZZZZZZ_FMpng_BG255%2C255%2C255.jpg,https://ae01.alicdn.com/kf/HTB12UfpRpXXXXXqXpXXq6xXFXXXu/Fashion-Statement-Jewellery-Bridal-Jewelry-Sets-Prom-Party-Costume-Accessories-Wedding-Necklace-Earring-For-Brides-Trinket.jpg,https://5.imimg.com/data5/UN/HH/TE/SELLER-24658154/deeanne-london-women-s-single-strap-block-heels-125x125.jpg
Casual,Summer,o-neck,full,cotton,,solid,hot,35.0,"https://ae01.alicdn.com/kf/HTB1fTBrXYwrBKNjSZPcq6xpapXax/Tshirt-Women-Tunic-Solid-V-Neck-Red-Short-Sleeve-Button-Women-Tops-Summer-Clothing-Cotton-Blend.jpg""",https://ae01.alicdn.com/kf/HTB1mcTDJFXXXXXlXpXXq6xXFXXXW/Bridal-Wedding-Party-Quality-White-Simulated-Pearl-Crystal-Necklace-Earrings-Set-Bridesmaid-Jewelry-CS1122.jpg,https://m.media-amazon.com/images/I/71C3o-uEHFL._AC_UY1000_.jpg
Casual,Summer,o-neck,sleevless,cotton,,striped,hot,35.0,https://i.pinimg.com/564x/5f/5f/4f/5f5f4fd9c45bf4df53731d91c57fa966.jpg,https://th.bing.com/th/id/OIP.RexHwoHaLKuOlz87vXV4ewAAAA?rs=1&pid=ImgDetMain,https://www.randbfashion.in/on/demandware.static/-/Sites-randb_master_catalog/default/dwc07946d5/large/jtfw06h8cf7x4rp_8905380348372_4.jpg
Casual,Summer,o-neck,sleevless,milksilk,,animal,hot,35.0,https://i.pinimg.com/736x/ff/8a/f6/ff8af6547aca3756e5779e23599feabe.jpg,https://th.bing.com/th/id/R.135f99ffedfe6a43b1a94e61dce84918?rik=D22lwRxhMuEDLw&riu=http%3a%2f%2f1.bp.blogspot.com%2f-VlUhF6sTf6o%2fTlm7X_oy9eI%2fAAAAAAAABiM%2fk4gx5-dzDdU%2fs1600%2fattractive-floral-diamond-necklace-zoom.jpg&ehk=cVYqkj3OqWfizuIPHUFY2LeQnzbghzuO3M2EQfp%2bzfw%3d&risl=&pid=ImgRaw&r=0,https://images.herzindagi.info/image/2019/Nov/footwear-perfect-for-indo-western-outfit.jpg
party,Spring,o-neck,halfsleeve,,,,hot,35.0,https://m.media-amazon.com/images/I/617VL4sj41L._AC_UY1100_.jpg,https://th.bing.com/th/id/R.f79ea9defa072183d667d5fd1fb6f3eb?rik=JeOLNzoXANkIYQ&riu=http%3a%2f%2fwww.mcssl.com%2fcontent%2f236929%2fegyptneck.jpg&ehk=%2fxKvcOBucyP8PW7W2tXSbFfSm2A%2buAi66fKI1B58pWo%3d&risl=&pid=ImgRaw&r=0,https://m.media-amazon.com/images/I/51UzHO3ucCL._SY500_.jpg
Casual,Spring,boat-neck,sleevless,cotton,,patchwork,moderate,20.0,https://m.media-amazon.com/images/I/61N6-fq-LaL._SL1100_.jpg,https://images.meesho.com/images/products/141748336/zgfm3_512.jpg,https://images-cdn.ubuy.co.in/659ec217be744c0f22738326-juebong-summer-solid-color-hollow-out.jpg
Sexy,Summer,v-neck,sleevless,cotton,,solid,hot,35.0,https://i5.walmartimages.com/seo/Plus-Size-Summer-Tank-Tops-for-Womens-Sexy-V-Neck-Sleeveless-T-Shirts-Tops-Casual-Loose-Fashion-Tees-Shirts-Flowy-Blouse_d72dfd93-37d9-4616-a1be-86a01bb41554.d096ee9a26e078fa921d13caad334c3c.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF,https://images.meesho.com/images/products/266344665/v8i7h_512.jpg,https://m.media-amazon.com/images/I/51A49huCQjL._AC_UY1000_.jpg
Casual,Summer,o-neck,short,cotton,,solid,hot,35.0,https://i.pinimg.com/originals/d7/59/7e/d7597ee6519815a0cea43d39ebbe41d7.jpg,https://images.meesho.com/images/products/143924359/hfjzq_512.webp,https://dtpmhvbsmffsz.cloudfront.net/posts/2017/12/10/5a2ddc0fa88e7d683c0162ee/m_5a2ddc204225be9fcd0166e9.jpg
Casual,Winter,boat-neck,full,cotton,,geometric,cool,10.0,https://d1jsd7iv7h2l7v.cloudfront.net/wp-content/uploads/2020/03/6850_4_-min.jpg,https://th.bing.com/th/id/R.4b603673b4d31fd59f6c583775e81459?rik=19WTGVI5qFaAQA&riu=http%3a%2f%2fwww.pak101.com%2fgallery%2fJewellery%2fNecklace_Sets%2f2013%2f5%2f9%2fNeckless_Jewellery_Sets_2013_for_Women__7_cydfb_Pak101(dot)com.jpg&ehk=baI9juqR5CZ3vVgsNYMwMz6yyv7sXvKGcd3RCCCkDVA%3d&risl=&pid=ImgRaw&r=0,https://m.media-amazon.com/images/I/51eNdSY1kJL._AC_UY1000_.jpg
Casual,winter,o-neck,full,polyster,,solid,cool,10.0,https://i.pinimg.com/originals/a0/c0/da/a0c0da83f89e9684859f488995a5e607.jpg,https://ae01.alicdn.com/kf/HTB15MX.SXXXXXXbapXXq6xXFXXXo/Swan-Crystal-brand-Luxury-Necklace-earrings-jewelry-sets-Necklaces-pendants-women-statement-accessories-Rhinestone-free.jpg,https://wforwoman.com/content/wp-content/uploads/2017/09/ethnic-sandals-10.jpg
Casual,Summer,v-neck,sleevless,nylon,,,hot,35.0,"https://assets.myntassets.com/h_200,w_200,c_fill,g_auto/h_1440,q_100,w_1080/v1/assets/images/21072242/2022/12/5/c671714c-e529-4857-beef-49e6aa78b8881670242766854Kurtas1.jpg",https://th.bing.com/th/id/R.bf15ff527b011ec5da80e44be00b4e35?rik=trCXxSIfNI4YdQ&riu=http%3a%2f%2fwww.pak101.com%2fgallery%2fJewellery%2fNecklace_Sets%2f2013%2f5%2f9%2fNeckless_Jewellery_Sets_2013_for_Women__11_jtibb_Pak101(dot)com.jpg&ehk=1CA7pWsZ6w4jrFS%2bPwK22buCvWGMKIKjLsyclsM6zBQ%3d&risl=&pid=ImgRaw&r=0,https://m.media-amazon.com/images/I/61bhWwbgCuL._AC_UY1000_.jpg
cute,Summer,boat-neck,sleevless,,,,hot,35.0,https://m.media-amazon.com/images/I/61FmFijyvJL._AC_UY1000_.jpg,https://images.meesho.com/images/products/335298450/iih3h_512.jpg,https://www.stylecraze.com/wp-content/uploads/2017/03/Peep-toes.jpg
Sexy,Summer,turndowncollor,sleevless,cotton,,solid,hot,35.0,https://ae01.alicdn.com/kf/S14aa0936c213495f9c8d659d19def73b6.jpg_640x640Q90.jpg_.webp,https://images.meesho.com/images/products/335298451/d0zeq_512.webp,https://rukminim2.flixcart.com/image/850/1000/k3670cw0/sandal/j/w/8/33-885-39-metro-80-peach-original-imafmdfr5jgvgjr3.jpeg?q=20&crop=false
Novelty,winter,o-neck,short,polyster,broadcloth,,cool,10.0,https://image.suratwholesaleshop.com/data/2020y/September/17606/Office-Wear-Pink-Embroidery-Work-Cotton-Kurti-SHIMMER-3705.jpg,https://ae01.alicdn.com/kf/HTB1mlLKB8mWBuNkSndVq6AsApXaN/Bridal-party-Wedding-Jewelry-sets-Statement-purple-delicate-Crystal-Rhinestones-Necklace-Earrings-set-waterdrop-Jewelry-sets.jpg,https://availeverything.com/public/uploads/all/XuBMFm5IVDGyABXWT5UH3vvWOgIRI0hEiZjIHHm7.jpg

